id,acl_sentence,claim,annotation,user,cross_annotations,cross_users
35,2328,Colombia is a member of the UN organization.,,,,
36,2328,"Along with the UN, the OAS, and other international organizations, Colombia is a member of the Pacific Alliance.",,,,
37,2328,Colombia is 17 megadiverse countries.,,,,
38,2328,Colombia is a part of CIVETS.,,,,
39,2328,"Along with the Caribbean, Colombia has the Pacific coastline.",,,,
40,3362,James A. Woods attended school at Lee Strasberg Theatre and Film Institute.,,,,
41,3362,TVA Films produced Eternal.,,,,
42,3362,James A. Woods was born in Montreal.,,,,
43,3362,Seville Films distributed Hatley High.,,,,
44,3362,James A. Woods won the Best Screenplay award at The Comedy Festival.,,,,
45,3362,James A. Woods won the award of best Director for his role in Hatley High.,,,,
46,3362,Hatley High was distributed in Canada.,,,,
47,3362,James A. Woods played the role of James A.Woods in Hatley High.,,,,
48,3362,James A. Woods won Best Director and Best Screenplay awards at the Comedy Festival.,,,,
49,3362,James A. Woods directed Eternal and the Ed Solomon films.,,,,
50,3362,James A. Woods starred in the film Hatley High.,,,,
51,3362,Ed Solomon directed the film Levity.,,,,
52,3362,James A. Woods'nickname was Woods.,,,,
53,3362,James A. Woods attended school in New York City.,,,,
54,5387,Linkin Park is from California.,,,,
55,5387,Linkin Park is from Agoura Hills.,,,,
56,5387,Linkin Park is American.,,,,
57,5387,"Linkin Park is an American rock band from Agoura Hills, California.",,,,
58,5387,RIAA certified Linkin Park's album as diamond.,,,,
59,5387,The name of Linkin Park's first album was Hybrid Theory.,,,,
60,5387,Linkin Park's debut album was certified diamond by the RIAA in 2005.,,,,
61,5387,Linkin Park's Meteora top Billboard in 2003.,,,,
62,5387,Linkin Park was formed in 1996.,,,,
63,5387,Linkin Park's debut album was released in 2000.,,,,
64,5387,The Billboard number of Hybrid Theory was 200.,,,,
65,5387,Linkin Park's Meteora top the Billboard 200 in 2003.,,,,
66,5387,Meteora was the name of Linkin Park's second album.,,,,
67,3721,Highway to Heaven aired five seasons.,,,,
68,3721,Highway to Heaven aired on NBC from 1984 to 1989.,,,,
69,3721,Highway to Heaven is American.,,,,
70,3721,Highway to Heaven had 111 episodes.,,,,
72,3721,Highway to Heaven was the name of the American television series Highway to Heaven.,,,,
73,1441,The first name of Billie Piper's album was first.,1111,356,1111,356
74,1441,The first album by Billie Piper was released in 1998.,3311,356,3311,356
75,1441,Billie Piper had one song on her first album.,1311,356,1311,356
76,1441,The name of Billie Piper's first album was the BHoney.,1211,356,1211,356
77,1441,Billie Piper released Honey to the B.,3311,356,3311,356
78,1441,Billie Piper was British.,3311,356,3311,356
79,1441,Billie Piper was the youngest female artist to have a first single enter the pop charts in the UK.,3311,356,3311,356
80,1441,Billie was the first British female pop singer to have a first single enter the UK pop charts at number one.,3311,356,3311,356
81,1538,Petersen was released in 1974.,,,,
82,1538,Jacki Weaver was Australian.,,,,
83,1538,Weaver won an Academy Award for Best Supporting Actress in Silver Linings Playbook.,,,,
84,1538,Jacki Weaver belonged to New Wave cinema.,,,,
85,1538,Silver Linings Playbook earned Jacki Weaver an Academy Award nomination for Best Supporting Actress.,,,,
86,1538,Jacki Weaver starred in the Ozploitation film Alvin Purple (1973).,,,,
87,1538,Jacki Weaver released her autobiography in 2005.,,,,
88,1538,Jacki Weaver emerged as a symbol of the Australian New Wave in the 1970s.,,,,
89,1538,Jacki Weaver was known for the film Animal Kingdom.,,,,
90,1538,Jacki's real name is Weaver.,,,,
91,1538,Jacki Weaver starred in the Ozploitation film Stork (1971).,,,,
92,1538,Silver Linings Playbook was released in 2012.,,,,
93,1538,Animal Kingdom was released in 2010.,,,,
94,1538,"Jacki Weaver's autobiography was called Much Love, Jac.",,,,
95,1538,Jacki Weaver is known for her roles in Animal Kingdom and Silver Linings Playbook.,,,,
96,1538,Jacki Weaver starred in the Ozploitation film Petersen in 1974.,,,,
97,1538,Jacki Weaver was a symbol of the Australian New Wave in Ozploitation.,,,,
98,4773,Girls' Generation is South Korean.,,,,
99,4773,"Along with Taeyeon, Sunny, Hyoyeon, Yuri, and Seohyun, Yoona is a member of YoonA.",,,,
100,4773,"Along with Taeyeon, Sunny, Hyoyeon, Yuri, Sooyoung, Yoona, and Seoh, Tiffany is also present.",,,,
101,4773,The name of the eight members of the Girls' Generation is Taeyeon.,,,,
102,4773,Girls' Generation is the name of the South Korean girl group SNSD.,,,,
103,4773,The name of the South Korean girl group SNSD is S.M. Entertainment.,,,,
104,4773,The name of the member of the Girls' Generation is Sooyoung.,,,,
105,4773,The name of the group's other member is Sunny.,,,,
106,4773,Hyoyeon is the name of the member of the Girls' Generation.,,,,
107,4773,There are eight members in the Girls' Generation.,,,,
108,4773,Yuri is the name of the member of the Girls' Generation.,,,,
109,4773,Another name for Girls' Generation is SNSD.,,,,
110,4773,"Along with Taeyeon, Sunny, Hyoyeon, Yuri, Sooyoung, Yoona, and Yoonahun, Seohyun is also a Yoonan.",,,,
111,981,"Ted Kaczynski was born on May 22, 1942.",,,,
112,981,Ted Kaczynski was American.,,,,
113,981,Ted Kaczynski killed three people between 1978 and 1995.,,,,
114,981,Ted Kaczynski abandoned his academic career in 1969.,,,,
115,981,23 people were injured in the bombings.,,,,
116,981,Ted Kaczynski is the nickname of Theodore John Kaczowski.,,,,
117,981,Ted Kaczynski's real name was Theodore John Kacowski.,,,,
118,981,Ted Kaczynski was also known as Unabomber.,,,,
120,227,Margot Kidder started working in independent films and television in the 2000s.,,,,
121,227,Margot Kidder played R.L. Stine in a production of The Vagina Monologue.,,,,
122,227,Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour in 2015.,,,,
123,227,The Vagina Monologues was the name of the musical that Margot Kidder starred in on Broadway in 2002.,,,,
124,227,Margot Kidder appeared in a production of The Vagina Monologues at Broadway.,,,,
125,227,"Along with Smallville, Brothers & Sisters, and The Haunting Hour, Margot Kidder guest starred in The L Word.",,,,
126,227,Margot Kidder appeared on Broadway in The Vagina Monologues in 2002.,,,,
127,227,"Margot Kidder starred in Smallville, Brothers & Sisters, and The L Word.",,,,
128,227,Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour.,,,,
129,227,Margot Kidder won an Emmy Award for the television series The Haunting Hour.,,,,
130,227,"Margot Kidder guest starred on Smallville, Brothers & Sisters.",,,,
131,5436,The name of the English football club that Diego da Silva Costa plays for is Chelsea.,,,,
132,5436,Diego Costa was born on 7 October 1988.,,,,
133,5436,Diego da Silva Costa is the nickname of Diego Costa.,,,,
134,5436,Diego Costa is a striker for Spain.,,,,
135,5436,Diego Costa plays for English.,,,,
136,5957,Gaiman described the book as'the cleanest text there has ever been'.,,,,
137,5957,The nationality of Gods Gaiman is American.,,,,
138,5957,Starz began airing an adaptation of the novel in April 2017.,,,,
139,5957,Michael Green is the showrunner on Starz.,,,,
140,5957,Bryan Fuller is the showrunner for Starz's adaptation of the novel.,,,,
141,5957,Starz began airing an adaptation of the novel in April of 2017.,,,,
142,2748,Hugh Jackman received first Academy Awards for his role in Les Misérables.,,,,
143,2748,The name of the thriller Hugh Jackman starred in is Prisoners (2013).,,,,
144,2748,Hugh Jackman's first nomination for Best Actor was the Academy Award.,,,,
145,2748,Van Helsing is the name of the action-horror film starring Hugh Jackman.,,,,
146,2748,The name of the epic fantasy drama Hugh Jackman starred in is The Fountain (2006).,,,,
147,2748,Hugh Jackman played Wolverine in X-Men.,,,,
148,2748,Hugh Jackman won the Golden Globe Award for Best Actor - Motion Picture Musical or Comedy in 2013.,,,,
149,2748,Hugh Jackman starred in the film Les Misérables in 2012.,,,,
150,2748,Hugh Jackman received the Golden Globe award for best Actor - Motion Picture Musical or Comedy for his role in Les Misérables.,,,,
151,2748,Hugh Jackman played the role of Hugh Jackman in X-Men.,,,,
152,2748,The name of the 2001 romantic-comedy film starring Hugh Jackman is Kate & Leopold.,,,,
153,2748,The Prestige (2006) was the name of the magic-themed film starring Hugh Jackman.,,,,
154,2748,Kate & Leopold was released in 2001.,,,,
155,2748,Van Helsing was released in 2004.,,,,
156,2748,Hugh Jackman played the character of Wolverine in the X-Men.,,,,
157,2748,Hugh Jackman received the Academy Award for Best Actor for his role in Les Misérables.,,,,
158,2748,Hugh Jackman starred in the film Les Misérables (2012).,,,,
159,2748,The name of the historical romantic drama Hugh Jackman starred in was Australia (2008).,,,,
160,2748,The thriller Prisoners was released in 2013.,,,,
161,3090,FIFA named Zinedine Zidane World Player of the Year three times.,,,,
162,3090,Zinedine Zidane was named the FIFA World Player of the Year in 1998.,,,,
163,3090,Zinedine Zidane won the Ballon d'Or award in 1998.,,,,
164,3090,Zinedine Zidane received La Liga Best Foreign Player in 2002.,,,,
165,3090,Zinedine Zidane was named FIFA World Player of the Year ZinedineZidaneZidabeZidanes.,,,,
166,3090,"Zinedine Zidane was named FIFA World Player of the Year in 1998, 2000 and 2003.",,,,
167,3090,Zinedine Zidane was a footballer of the year in 2001 in Serie A.,,,,
168,3090,Zinedine Zidane was named in the FIFA 100 in 2004.,,,,
169,3090,Pelé compiled the FIFA 100.,,,,
170,3090,Zinedine Zidane was named Ligue 1 Player of the Year in 1996.,,,,
171,3090,"Zinedine Zidane was named World Player of the Year by FIFA in 1998, 2000 and 2003.",,,,
172,3090,Zinedine Zidane was named FIFA World Player of the Year in 2000.,,,,
173,3090,Zinedine Zidane was named Serie A Footballer of the Year in 2001.,,,,
174,3090,Zinedine Zidane was named La Liga Best Foreign Player in 2002.,,,,
175,3090,Zinedine Zidane was named FIFA World Player of the Year in 2003.,,,,
176,3090,Zinedine Zidane received Ligue 1 Player of the Year in 1996.,,,,
177,3090,Zinedine Zidane was named the FIFA World Player of the Year three times.,,,,
178,3090,The name of the list of the greatest living players compiled by Pelé is 100.,,,,
179,1048,Ozzy Osbourne belonged to the Black Sabbath heavy metal band.,3311,358,3311,358
180,1048,Osbourne was the lead vocalist of Black Sabbath.,3301,358,3301,358
181,1048,Ozzy Osbourne released 11 studio albums.,3311,358,3311,358
182,1048,Ozzy Osbourne was the lead vocalist of Black Sabbath.,3311,358,3311,358
183,1048,Ozzy Osbourne rose to fame in the early 1970s.,3311,358,3311,358
184,1048,Seven of Ozzy Osbourne's albums were awarded multi-platinum certifications.,3311,358,3311,358
185,1048,Ozzy Osbourne reunited with Black Sabbath on 13 albums.,1311,358,1311,358
186,1048,Ozzy Osbourne reunited with Black Sabbath in 2013.,1311,358,1311,358
187,1048,First Ozzy Osbourne albums were awarded multi-platinum certifications.,3311,358,3311,358
188,1048,Ozzy Osbourne's first seven albums were awarded multi-platinum certifications in the US.,3311,358,3311,358
189,1048,Ozzy Osbourne was fired from Black Sabbath in 1979.,3311,358,3311,358
190,2342,"Along with TBS, MBS broadcasts Code Geass.",1311,360,"1311,3311","360,356"
191,2342,The sequel to Code Geass aired on the television station JNN.,3311,360,"3311,3311","360,356"
192,2342,Bandai Entertainment licensed most of the Code Geass series for English release in 2007.,3311,360,"3311,3311","360,356"
193,2342,Bandai Entertainment aired two TV series on Adult Swim in 2007.,3301,360,"3301,2311","360,356"
194,2342,The English version of Code Geass was released in December 2007.,1311,360,"1311,3311","360,356"
195,2342,Bandai Entertainment aired the two episodes of Code Geass on Adult Swim.,1301,360,"1301,1311","360,356"
196,2342,"Along with MBS, TBS broadcasts Code Geass Its sequel series.",3211,360,"3211,3211","360,356"
197,2342,Bandai Entertainment released most of the Code Geass series in English.,1311,360,"1311,2311","360,356"
198,2342,"The sequel to Code Geass ran as a simulcast on JNN from April 6, 2008 to September 28, 2008.",3311,360,"3311,3311","360,356"
199,2922,Frank Sinatra performed in 1980 in New York.,,,,
200,2922,Frank Sinatra performed at Caesars Palace after retiring.,,,,
201,2922,Frank Sinatra retired for the first time in 1971.,,,,
202,2922,Frank Sinatra came out of retirement two years later.,,,,
203,2922,"Frank Sinatra recorded the song ""New York, New York"" in 1980.",,,,
204,2922,Frank Sinatra toured the United States.,,,,
205,2922,Frank Sinatra's last name was Frank SinatraSinatra.,,,,
206,2922,Frank Sinatra died in 1998.,,,,
207,2922,Frank Sinatra's first name was Sinatra.,,,,
208,2922,Frank Sinatra's home base was in Las Vegas.,,,,
209,2922,Frank Sinatra retired first.,,,,
210,2399,"Christina Aguilera recorded the song ""Beautiful"".",,,,
211,2399,The name of Christina Aguilera's song is beautiful.,,,,
212,2399,"Beautiful was released on November 16, 2002.",,,,
213,2399,Christina Aguilera is American.,,,,
214,2399,Christina Aguilera released her fourth album in 2002.,,,,
215,2399,The title of Christina Aguilera's single was beautiful second.,,,,
216,2399,The name of Christina Aguilera's fourth album was Stripped (2002).,,,,
217,5480,Ozzy Osbourne was a member of Black Sabbath for years.,,,,
218,5480,Osbourne is the Godfather of Heavy Metal.,,,,
219,5480,Ozzy Osbourne's total album sales from Black Sabbath is over 100 million.,,,,
220,5480,Ozzy Osbourne's informal title is Godfather of Heavy Metal.,,,,
221,5480,Ozzy Osbourne belonged to the UK Music Hall of Fame as a solo artist and as a member of Black Sabbath.,,,,
222,5480,Ozzy Osbourne is the Godfather of Heavy Metal.,,,,
223,5480,Ozzy Osbourne was a member of the Black Sabbath band.,,,,
224,5480,Ozzy Osbourne was inducted as a member of Black Sabbath in the Rock and Roll Hall of Fame.,,,,
226,1404,Tiger Woods won first by April 1997.,,,,
227,1404,"Tiger Woods pocketed 486,000 in the 1997 Masters.",,,,
228,1404,Tiger Woods was one in the world rankings in June 1997.,,,,
229,1404,Tiger Woods won the 1997 Masters.,,,,
230,1404,Tiger Woods won the 1997 Masters by 12 strokes.,,,,
231,1404,Tiger Woods reached the number one position in the world rankings in June 1997.,,,,
232,1404,Tiger Woods won his first major in April 1997.,,,,
233,1404,Tiger Woods won his first major in 1997.,,,,
234,1404,It took Tiger Woods less than a year to reach the top of the world rankings.,,,,
235,1404,Woods won the 1997 Masters.,,,,
236,2510,The name of Mother Teresa was Teresa.,,,,
237,2510,The anniversary of Mother Teresa's death is on 5 September.,,,,
238,2510,Mother Teresa received the TeresaTeresa award in 1962.,,,,
239,2510,Mother Teresa received Nobel Peace Prize in 1979.,,,,
240,2510,Mother Teresa received the Ramon Magsaysay Peace Prize in 1962.,,,,
241,2510,The Ramon Magsaysay Peace Prize was awarded in 1962.,,,,
242,2510,Mother Teresa received the Nobel Peace Prize in 1979.,,,,
243,2510,Mother Teresa was canonised on 4 September 2016.,,,,
244,3151,"Armenia, Aksum, Georgia, and the Roman Empire declared themselves as Christian states.",,,,
245,3151,Greece has a state church.,,,,
246,3151,"Along with Armenia, Georgia, and the Roman Empire, Aksum declared itself a Christian state.",,,,
247,3151,"Along with Costa Rica, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia, Denmark is also Denmark.",,,,
248,3151,"Along with Costa Rica, Denmark, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia, England is also a part of the group.",,,,
249,3151,"Along with Tuvalu and Zambia, Vatican City is a Christian state.",,,,
250,3151,"Along with Armenia, Aksum, and the Roman Empire, Georgia declared itself a Christian state.",,,,
251,3151,"Along with the Byzantine Empire, the Roman Empire declared itself a Christian state.",,,,
252,3151,An example of a Christian state is Costa Rica.,,,,
253,3151,"A Christian state stands in contrast to a secular state, an atheist state, or an Islamic state.",,,,
254,3151,Liechtenstein has a state church.,,,,
255,3151,The name of the country that has a state church is Tuvalu.,,,,
256,3151,"Along with the Roman Empire, the Byzantine Empire declared itself a Christian state.",,,,
257,3151,"Along with Georgia, the Roman Empire and Byzantine Empire, Armenia declared itself a Christian state.",,,,
258,3151,An example of a religious state is Jewish.,,,,
259,3151,Iceland has a state church.,,,,
260,3151,Tonga has a state church.,,,,
261,3151,"Along with Costa Rica, Denmark, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu and Vatican City, Zambia is another country.",,,,
262,3151,"Costa Rica, Denmark, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia do today.",,,,
263,3151,"Along with Tonga, Tuvalu, Vatican City, and Zambia, Monaco has a state church.",,,,
264,6253,The disappearance of a pregnant 12-year-old in Season 1 of Top of the Lake was in New Zealand.,,,,
265,6253,The Sundance Channel is located in the United States.,,,,
266,6253,Season 1 of Top of the Lake dealt with the disappearance of a pregnant 12-year-old girl in New Zealand.,,,,
267,6253,The second season of Top of the Lake is set in Sydney.,,,,
269,6253,The unidentified Asian girl was found in Bondi Beach.,,,,
270,6253,The girl in season 1 of Top of the Lake was 12-year-old.,,,,
271,6253,Top of the Lake was co-produced for BBC Two in the UK.,,,,
272,6253,Robin is the Detective on Top of the Lake.,,,,
273,6253,Lake is the name of the show that follows Detective Robin Griffin.,,,,
274,6253,The second season of Top of the Lake will take place four years after the events of Season 1.,,,,
275,6253,Detective Robin Griffin is Elisabeth Moss.,,,,
276,6253,Top of the Lake was co-produced by BBC UKTV in Australia.,,,,
277,6253,Season 2 of Top of the Lake will be set in Sydney.,,,,
278,6253,Robin Griffin is the Detective on Top of the Lake.,,,,
279,6253,BBC Two co-produced Top of the Lake.,,,,
280,6253,The Sundance Channel co-produced Top of the Lake.,,,,
281,6253,BBC UKTV co-produced Top of the Lake.,,,,
282,6253,The unidentified girl in Season 2 of Top of the Lake was Asian.,,,,
283,734,"The first episode of Star vs. the Forces of Evil was shown on January 18, 2015.",,,,
284,734,"Star vs. the Forces of Evil premiered on March 30, 2015.",,,,
285,734,Star vs. the Forces of Evil is American.,,,,
286,734,Disney Television Animation produced Star vs. the Forces of Evil.,,,,
287,734,Another name for Star vs. the Forces of Evil is the Forces.,,,,
288,734,The first episode of Star vs. the Forces of Evil was shown on Disney Channel.,,,,
289,734,The first episode of Star vs. the Forces of Evil was Star vs the Forces.,,,,
290,734,Star vs. the Forces of Evil premiered on Disney XD.,,,,
291,734,The first episode of Star vs. the Forces of Evil was first.,,,,
292,5485,Diego Costa played for Brazil in 2013.,,,,
293,5485,Diego Costa was granted Spanish citizenship in September 2013.,,,,
294,5485,Costa made his debut for his adopted country in March 2014.,,,,
295,5485,Costa represented Spain at the 2014 FIFA World Cup.,,,,
297,5485,Diego Costa played for Brazil.,,,,
298,5485,Diego Costa wanted to represent Spain.,,,,
299,5485,The nickname of Diego Costa is Costa.,,,,
300,5485,Costa's citizenship was Spanish.,,,,
301,6226,Joe Biden was first elected to the Senate.,,,,
302,6226,Joe Biden was elected to New Castle County council.,,,,
303,6226,Joe Biden was the youngest senator in the U.S.,,,,
304,6226,Joe Biden was re-elected six times to the Senate.,,,,
305,6226,Joe Biden became an attorney in 1969.,,,,
306,6226,Joe Biden assumed the Vice Presidency in 2009.,,,,
307,6226,Joe Biden was fourth when he resigned from the Senate.,,,,
308,6226,Joe Biden was sixth when he was elected to the U.S. Senate.,,,,
309,6226,Joe Biden was first elected to the Senate in 1972.,,,,
310,6226,Joe Biden was elected to the Senate first.,,,,
311,6226,Joe Biden was the sixth-youngest senator in U.S. history.,,,,
312,6226,Joe Biden was elected to the New Castle County council in 1970.,,,,
313,515,Mohra was released in 1994.,,,,
314,515,Jaanwar was released in 1999.,,,,
315,515,The name of Akshay Kumar's 1996 film was Sapoot.,,,,
316,515,Akshay Kumar was known for appearing in the Khiladi series.,,,,
317,515,Akshay Kumar was a Bollywood actor.,,,,
318,515,Akshay Kumar began his acting career in the 1990s.,,,,
319,515,Jaanwar was the name of Akshay Kumar's 1999 film.,,,,
320,515,Sapoot was released in 1996.,,,,
321,515,The name of Akshay Kumar's 1994 film was Mohra.,,,,
322,515,The title of Akshay Kumar's 1993 film was Waqt Hamara Hai.,,,,
323,515,Akshay Kumar was the first and only Bollywood actor to do so.,,,,
324,515,The name of Akshay Kumar's 1994 film was Elaan.,,,,
325,515,Akshay Kumar has established himself as a leading contemporary actor in Hindi cinema.,,,,
326,515,The name of Akshay Kumar's 1994 film was Suhaag.,,,,
327,515,The name of Akshay Kumar is Kumar.,,,,
328,515,Akshay Kumar's net box-office collection was first.,,,,
329,515,Waqt Hamara Hai was released in 1993.,,,,
330,515,Many media outlets reported that the net box-office collection of Kumar's films had crossed in February 2013.,,,,
331,4105,John Glen directed the third James Bond film.,,,,
332,4105,Richard Maibaum wrote the screenplay for A View to a Kill.,,,,
333,4105,"Golden Globe award did ""A View to a Kill"" receive.",,,,
334,4105,"The award that ""A View to a Kill"" earned is best Song.",,,,
335,4105,The name of the third James Bond film was A View to a Kill.,,,,
336,4105,Albert R. Broccoli produced A View to a Kill.,,,,
337,4105,Lois Maxwell's role in the film was Moneypenny.,,,,
338,4105,"John Glen directed A View to a Kill, the third film of the James Bond genre.",,,,
339,4105,Lois Maxwell played Miss Moneypenny in A View to a Kill.,,,,
340,4105,Duran Duran wrote the theme song for A View to a Kill.,,,,
341,4105,Michael G. Wilson wrote the screenplay for A View to a Kill.,,,,
342,4105,"The name of the Duran Duran theme song was ""A View to a Kill"".",,,,
343,4105,John Glen directed a third of James Bond films.,,,,
344,3994,Disney is the name of the company that owns and licenses 14 theme parks around the world.,,,,
345,3994,"Along with Interactive Media and Parks and Resorts, Disney owns Disney Consumer Products.",,,,
346,3994,"Disney became a component of the Dow Jones Industrial Average on May 6, 1991.",,,,
347,3994,The name of the cable television network owned by Disney is A+E Networks.,,,,
348,3994,Disney owns the cable television network Freeform.,,,,
349,3994,Disney owns and licenses 14 theme parks around the world.,,,,
350,3994,The three main divisions of the Walt Disney Company are Walt Disney Parks and Resorts.,,,,
351,3994,Another division of the Walt Disney Company is Interactive Media.,,,,
352,3994,The name of Disney's other three divisions is The Walt Disney Company.,,,,
353,3994,"Along with Disney Consumer Products and Interactive Media, the other division of the Walt Disney Company is Disney Media Networks.",,,,
354,3994,Disney Channel is the name of the cable television network owned by Disney.,,,,
355,3994,Disney owns ABC.,,,,
356,3994,Disney has three divisions.,,,,
357,3994,"Along with Disney Channel, A+E Networks, and Freeform, ESPN is owned by Disney.",,,,
358,4519,Larson researched trauma and nutrition for her part in Room.,,,,
359,4519,Larson won the Golden Globe Award for Room.,,,,
360,4519,Room was released in 2015.,,,,
361,4519,Room was released in October 2015 in the United States.,,,,
362,4519,Room was released in the US on 16 October 2015.,,,,
363,4519,Room premiered at the Telluride Film Festival on 4 September 2015.,,,,
364,4519,Larson won the Screen Actors Guild Award for Room.,,,,
365,4519,Jack was the role of Larson's children in Room.,,,,
366,4519,Larson won the Academy Award for Best Actress for Room.,,,,
367,4519,Larson won the BAFTA Award for Room.,,,,
368,4519,Room premiered at the Telluride Film Festival.,,,,
369,741,Richard III was of England.,,,,
370,741,Richard III was the last king of the House of York.,,,,
371,741,Richard III died in the Battle of Bosworth Field.,,,,
372,741,Richard III was born on 2 October 1452 - 22 August 1485.,,,,
373,741,Richard III was the age of 32 when he died.,,,,
374,741,Richard III became King of England in 1483.,,,,
376,741,Richard III died in 1485.,,,,
377,741,Richard III was the last king of the Plantagenet dynasty.,,,,
378,6134,Another name for the NBA is NBA.,,,,
379,6134,Magic Johnson Jr. is a member of the Lakers.,,,,
380,6134,Magic Johnson Jr.'s nickname is Johnson.,,,,
381,6134,"Magic Johnson Jr.'s profession was Magic JohnsonEarvin ""Magic.""",,,,
382,6134,Magic Johnson Jr is American.,,,,
383,6134,Magic Johnson Jr. was selected by the Lakers in 1979.,,,,
384,6134,Magic Johnson Jr. played for the Lakers for 13 seasons.,,,,
385,6134,Magic Johnson Jr. is a member of the National Basketball Association.,,,,
386,6134,Magic Johnson Jr. is a member of the Los Angeles Lakers.,,,,
387,6134,"Magic Johnson Jr. was born on August 14, 1959.",,,,
388,6134,Magic Johnson Jr.'s overall ranking in the 1979 NBA draft was first.,,,,
389,6134,Magic Johnson's real name is Johnson Jr..,,,,
390,271,Miley Cyrus'real name is Miley Ray Cyrus.,,,,
391,271,Miley Cyrus is American.,,,,
392,271,Miley Cyrus played Miley Stewart in the television series Hannah Montana.,,,,
393,271,Miley Cyrus starred as Miley Stewart in Hannah Montana in 2006.,,,,
394,271,"Miley Cyrus was born on November 23, 1992.",,,,
395,271,Miley Cyrus'birth name was Destiny Hope Cyrus.,,,,
397,271,Miley Cyrus played a minor role in the television series Doc and the film Big Fish as a child.,,,,
398,271,Miley Cyrus starred in Disney Channel in 2006.,,,,
399,271,Miley Ray Cyrus'nickname is Miley Cyrus.,,,,
400,5856,Alicia Keys was in 2006.,,,,
401,5856,Keys won the Best Album award in 2008.,,,,
402,5856,"Keys received Outstanding song and Outstanding Music Video for ""Unbreakable"" at the NAACP Image Awards in 2006.",,,,
403,5856,"Keys won the Best R&B Song for ""No One"" award at the Grammy Awards.",,,,
404,5856,Keys won 3 awards in 2006.,,,,
405,5856,Keys won the award of World's Best Selling R&B Artist at the World Music Awards.,,,,
406,5856,Keys won Pop/Rock music at the 2008 Grammys.,,,,
407,5856,"Keys won Best Female R&B Vocal Performance and Best R&b Song for ""No One"" at the Grammy Awards.",,,,
408,5856,Keys received 12 nominations in 2006.,,,,
409,5856,Keys won the Best Female R&B Vocal Performance award at the Grammys.,,,,
410,5856,Keys received 30 nominations in 2008.,,,,
411,5856,Keys won 16 awards in 2008.,,,,
412,5856,Keys won the Outstanding Female Artist award at the 2006 NAACP Image Awards.,,,,
413,5856,Keys won the As I Am award at the American Music Awards in 2008.,,,,
415,5856,Keys won 16 Grammy nominations in 2008.,,,,
416,5856,Keys won World's Best Selling R&B Artist at the World Music Awards.,,,,
417,5856,Keys won soul/R & B at the American Music Awards.,,,,
418,5856,Alicia Keys was nominated for an award at the NAACP Image Awards in 2006.,,,,
419,6003,Angela Lansbury co-owned Corymore Productions.,3311,353,"3311,3311","353,356"
420,6003,Angela Lansbury contributed to Disney's Beauty and the Beast.,3311,353,"3311,3311","353,356"
421,6003,Peter Shaw was Angela Lansbury's husband.,3311,353,"3311,3311","353,356"
