id,sentence,claims,focus,coverage,redundance,model,user,cross_focus,cross_coverage,cross_users
11,981,"Ted Kaczynski was born on May 22, 1942.
Ted Kaczynski was American.
Ted Kaczynski killed three people between 1978 and 1995.
Ted Kaczynski abandoned his academic career in 1969.
23 people were injured in the bombings.
Ted Kaczynski is the nickname of Theodore John Kaczowski.
Ted Kaczynski's real name was Theodore John Kacowski.
Ted Kaczynski was also known as Unabomber.
Ted Kaczynski killed three people between 1978 and 1995.",,,,qacg,,,,
12,227,"Margot Kidder started working in independent films and television in the 2000s.
Margot Kidder played R.L. Stine in a production of The Vagina Monologue.
Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour in 2015.
The Vagina Monologues was the name of the musical that Margot Kidder starred in on Broadway in 2002.
Margot Kidder appeared in a production of The Vagina Monologues at Broadway.
Along with Smallville, Brothers & Sisters, and The Haunting Hour, Margot Kidder guest starred in The L Word.
Margot Kidder appeared on Broadway in The Vagina Monologues in 2002.
Margot Kidder starred in Smallville, Brothers & Sisters, and The L Word.
Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour.
Margot Kidder won an Emmy Award for the television series The Haunting Hour.
Margot Kidder guest starred on Smallville, Brothers & Sisters.",,,,qacg,,,,
13,5436,"The name of the English football club that Diego da Silva Costa plays for is Chelsea.
Diego Costa was born on 7 October 1988.
Diego da Silva Costa is the nickname of Diego Costa.
Diego Costa is a striker for Spain.
Diego Costa plays for English.",,,,qacg,,,,
14,5957,"Gaiman described the book as'the cleanest text there has ever been'.
The nationality of Gods Gaiman is American.
Starz began airing an adaptation of the novel in April 2017.
Michael Green is the showrunner on Starz.
Bryan Fuller is the showrunner for Starz's adaptation of the novel.
Starz began airing an adaptation of the novel in April of 2017.",,,,qacg,,,,
15,693,"",,,,qacg,,,,
16,2748,"Hugh Jackman received first Academy Awards for his role in Les Misérables.
The name of the thriller Hugh Jackman starred in is Prisoners (2013).
Hugh Jackman's first nomination for Best Actor was the Academy Award.
Van Helsing is the name of the action-horror film starring Hugh Jackman.
The name of the epic fantasy drama Hugh Jackman starred in is The Fountain (2006).
Hugh Jackman played Wolverine in X-Men.
Hugh Jackman won the Golden Globe Award for Best Actor - Motion Picture Musical or Comedy in 2013.
Hugh Jackman starred in the film Les Misérables in 2012.
Hugh Jackman received the Golden Globe award for best Actor - Motion Picture Musical or Comedy for his role in Les Misérables.
Hugh Jackman played the role of Hugh Jackman in X-Men.
The name of the 2001 romantic-comedy film starring Hugh Jackman is Kate & Leopold.
The Prestige (2006) was the name of the magic-themed film starring Hugh Jackman.
Kate & Leopold was released in 2001.
Van Helsing was released in 2004.
Hugh Jackman played the character of Wolverine in the X-Men.
Hugh Jackman received the Academy Award for Best Actor for his role in Les Misérables.
Hugh Jackman starred in the film Les Misérables (2012).
The name of the historical romantic drama Hugh Jackman starred in was Australia (2008).
The thriller Prisoners was released in 2013.",,,,qacg,,,,
17,3090,"FIFA named Zinedine Zidane World Player of the Year three times.
Zinedine Zidane was named the FIFA World Player of the Year in 1998.
Zinedine Zidane won the Ballon d'Or award in 1998.
Zinedine Zidane received La Liga Best Foreign Player in 2002.
Zinedine Zidane was named FIFA World Player of the Year ZinedineZidaneZidabeZidanes.
Zinedine Zidane was named FIFA World Player of the Year in 1998, 2000 and 2003.
Zinedine Zidane was a footballer of the year in 2001 in Serie A.
Zinedine Zidane was named in the FIFA 100 in 2004.
Pelé compiled the FIFA 100.
Zinedine Zidane was named Ligue 1 Player of the Year in 1996.
Zinedine Zidane was named World Player of the Year by FIFA in 1998, 2000 and 2003.
Zinedine Zidane was named FIFA World Player of the Year in 2000.
Zinedine Zidane was named Serie A Footballer of the Year in 2001.
Zinedine Zidane was named La Liga Best Foreign Player in 2002.
Zinedine Zidane was named FIFA World Player of the Year in 2003.
Zinedine Zidane received Ligue 1 Player of the Year in 1996.
Zinedine Zidane was named the FIFA World Player of the Year three times.
The name of the list of the greatest living players compiled by Pelé is 100.",,,,qacg,,,,
18,1048,"Ozzy Osbourne belonged to the Black Sabbath heavy metal band.
Osbourne was the lead vocalist of Black Sabbath.
Ozzy Osbourne released 11 studio albums.
Ozzy Osbourne was the lead vocalist of Black Sabbath.
Ozzy Osbourne rose to fame in the early 1970s.
Seven of Ozzy Osbourne's albums were awarded multi-platinum certifications.
Ozzy Osbourne reunited with Black Sabbath on 13 albums.
Ozzy Osbourne reunited with Black Sabbath in 2013.
First Ozzy Osbourne albums were awarded multi-platinum certifications.
Ozzy Osbourne's first seven albums were awarded multi-platinum certifications in the US.
Ozzy Osbourne was fired from Black Sabbath in 1979.",00100000001,11,00000000000,qacg,358,00100000001,11,358
19,2342,"Along with TBS, MBS broadcasts Code Geass.
The sequel to Code Geass aired on the television station JNN.
Bandai Entertainment licensed most of the Code Geass series for English release in 2007.
Bandai Entertainment aired two TV series on Adult Swim in 2007.
The English version of Code Geass was released in December 2007.
Bandai Entertainment aired the two episodes of Code Geass on Adult Swim.
Along with MBS, TBS broadcasts Code Geass Its sequel series.
Bandai Entertainment released most of the Code Geass series in English.
The sequel to Code Geass ran as a simulcast on JNN from April 6, 2008 to September 28, 2008.",000000000,101000,000000000,qacg,360,"000000000,000000000","101000,101000","360,356"
20,2922,"Frank Sinatra performed in 1980 in New York.
Frank Sinatra performed at Caesars Palace after retiring.
Frank Sinatra retired for the first time in 1971.
Frank Sinatra came out of retirement two years later.
Frank Sinatra recorded the song ""New York, New York"" in 1980.
Frank Sinatra toured the United States.
Frank Sinatra's last name was Frank SinatraSinatra.
Frank Sinatra died in 1998.
Frank Sinatra's first name was Sinatra.
Frank Sinatra's home base was in Las Vegas.
Frank Sinatra retired first.",,,,qacg,,,,
21,2399,"Christina Aguilera recorded the song ""Beautiful"".
The name of Christina Aguilera's song is beautiful.
Beautiful was released on November 16, 2002.
Christina Aguilera is American.
Christina Aguilera released her fourth album in 2002.
The title of Christina Aguilera's single was beautiful second.
The name of Christina Aguilera's fourth album was Stripped (2002).",,,,qacg,,,,
22,5480,"Ozzy Osbourne was a member of Black Sabbath for years.
Osbourne is the Godfather of Heavy Metal.
Ozzy Osbourne's total album sales from Black Sabbath is over 100 million.
Ozzy Osbourne's informal title is Godfather of Heavy Metal.
Ozzy Osbourne belonged to the UK Music Hall of Fame as a solo artist and as a member of Black Sabbath.
Ozzy Osbourne is the Godfather of Heavy Metal.
Ozzy Osbourne was a member of the Black Sabbath band.
Ozzy Osbourne was inducted as a member of Black Sabbath in the Rock and Roll Hall of Fame.
Ozzy Osbourne was a member of the Black Sabbath band.",,,,qacg,,,,
23,1404,"Tiger Woods won first by April 1997.
Tiger Woods pocketed 486,000 in the 1997 Masters.
Tiger Woods was one in the world rankings in June 1997.
Tiger Woods won the 1997 Masters.
Tiger Woods won the 1997 Masters by 12 strokes.
Tiger Woods reached the number one position in the world rankings in June 1997.
Tiger Woods won his first major in April 1997.
Tiger Woods won his first major in 1997.
It took Tiger Woods less than a year to reach the top of the world rankings.
Woods won the 1997 Masters.",,,,qacg,,,,
24,2510,"The name of Mother Teresa was Teresa.
The anniversary of Mother Teresa's death is on 5 September.
Mother Teresa received the TeresaTeresa award in 1962.
Mother Teresa received Nobel Peace Prize in 1979.
Mother Teresa received the Ramon Magsaysay Peace Prize in 1962.
The Ramon Magsaysay Peace Prize was awarded in 1962.
Mother Teresa received the Nobel Peace Prize in 1979.
Mother Teresa was canonised on 4 September 2016.",,,,qacg,,,,
25,3151,"Armenia, Aksum, Georgia, and the Roman Empire declared themselves as Christian states.
Greece has a state church.
Along with Armenia, Georgia, and the Roman Empire, Aksum declared itself a Christian state.
Along with Costa Rica, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia, Denmark is also Denmark.
Along with Costa Rica, Denmark, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia, England is also a part of the group.
Along with Tuvalu and Zambia, Vatican City is a Christian state.
Along with Armenia, Aksum, and the Roman Empire, Georgia declared itself a Christian state.
Along with the Byzantine Empire, the Roman Empire declared itself a Christian state.
An example of a Christian state is Costa Rica.
A Christian state stands in contrast to a secular state, an atheist state, or an Islamic state.
Liechtenstein has a state church.
The name of the country that has a state church is Tuvalu.
Along with the Roman Empire, the Byzantine Empire declared itself a Christian state.
Along with Georgia, the Roman Empire and Byzantine Empire, Armenia declared itself a Christian state.
An example of a religious state is Jewish.
Iceland has a state church.
Tonga has a state church.
Along with Costa Rica, Denmark, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu and Vatican City, Zambia is another country.
Costa Rica, Denmark, England, Greece, Iceland, Liechtenstein, Monaco, Tonga, Tuvalu, Vatican City, and Zambia do today.
Along with Tonga, Tuvalu, Vatican City, and Zambia, Monaco has a state church.",,,,qacg,,,,
26,6253,"The disappearance of a pregnant 12-year-old in Season 1 of Top of the Lake was in New Zealand.
The Sundance Channel is located in the United States.
Season 1 of Top of the Lake dealt with the disappearance of a pregnant 12-year-old girl in New Zealand.
The second season of Top of the Lake is set in Sydney.
Season 1 of Top of the Lake dealt with the disappearance of a pregnant 12-year-old girl in New Zealand.
The unidentified Asian girl was found in Bondi Beach.
The girl in season 1 of Top of the Lake was 12-year-old.
Top of the Lake was co-produced for BBC Two in the UK.
Robin is the Detective on Top of the Lake.
Lake is the name of the show that follows Detective Robin Griffin.
The second season of Top of the Lake will take place four years after the events of Season 1.
Detective Robin Griffin is Elisabeth Moss.
Top of the Lake was co-produced by BBC UKTV in Australia.
Season 2 of Top of the Lake will be set in Sydney.
Robin Griffin is the Detective on Top of the Lake.
BBC Two co-produced Top of the Lake.
The Sundance Channel co-produced Top of the Lake.
BBC UKTV co-produced Top of the Lake.
The unidentified girl in Season 2 of Top of the Lake was Asian.",,,,qacg,,,,
27,734,"The first episode of Star vs. the Forces of Evil was shown on January 18, 2015.
Star vs. the Forces of Evil premiered on March 30, 2015.
Star vs. the Forces of Evil is American.
Disney Television Animation produced Star vs. the Forces of Evil.
Another name for Star vs. the Forces of Evil is the Forces.
The first episode of Star vs. the Forces of Evil was shown on Disney Channel.
The first episode of Star vs. the Forces of Evil was Star vs the Forces.
Star vs. the Forces of Evil premiered on Disney XD.
The first episode of Star vs. the Forces of Evil was first.",,,,qacg,,,,
28,5485,"Diego Costa played for Brazil in 2013.
Diego Costa was granted Spanish citizenship in September 2013.
Costa made his debut for his adopted country in March 2014.
Costa represented Spain at the 2014 FIFA World Cup.
Diego Costa played for Brazil in 2013.
Diego Costa played for Brazil.
Diego Costa wanted to represent Spain.
The nickname of Diego Costa is Costa.
Costa's citizenship was Spanish.",,,,qacg,,,,
29,6226,"Joe Biden was first elected to the Senate.
Joe Biden was elected to New Castle County council.
Joe Biden was the youngest senator in the U.S.
Joe Biden was re-elected six times to the Senate.
Joe Biden became an attorney in 1969.
Joe Biden assumed the Vice Presidency in 2009.
Joe Biden was fourth when he resigned from the Senate.
Joe Biden was sixth when he was elected to the U.S. Senate.
Joe Biden was first elected to the Senate in 1972.
Joe Biden was elected to the Senate first.
Joe Biden was the sixth-youngest senator in U.S. history.
Joe Biden was elected to the New Castle County council in 1970.",,,,qacg,,,,
30,515,"Mohra was released in 1994.
Jaanwar was released in 1999.
The name of Akshay Kumar's 1996 film was Sapoot.
Akshay Kumar was known for appearing in the Khiladi series.
Akshay Kumar was a Bollywood actor.
Akshay Kumar began his acting career in the 1990s.
Jaanwar was the name of Akshay Kumar's 1999 film.
Sapoot was released in 1996.
The name of Akshay Kumar's 1994 film was Mohra.
The title of Akshay Kumar's 1993 film was Waqt Hamara Hai.
Akshay Kumar was the first and only Bollywood actor to do so.
The name of Akshay Kumar's 1994 film was Elaan.
Akshay Kumar has established himself as a leading contemporary actor in Hindi cinema.
The name of Akshay Kumar's 1994 film was Suhaag.
The name of Akshay Kumar is Kumar.
Akshay Kumar's net box-office collection was first.
Waqt Hamara Hai was released in 1993.
Many media outlets reported that the net box-office collection of Kumar's films had crossed in February 2013.",,,,qacg,,,,
31,4105,"John Glen directed the third James Bond film.
Richard Maibaum wrote the screenplay for A View to a Kill.
Golden Globe award did ""A View to a Kill"" receive.
The award that ""A View to a Kill"" earned is best Song.
The name of the third James Bond film was A View to a Kill.
Albert R. Broccoli produced A View to a Kill.
Lois Maxwell's role in the film was Moneypenny.
John Glen directed A View to a Kill, the third film of the James Bond genre.
Lois Maxwell played Miss Moneypenny in A View to a Kill.
Duran Duran wrote the theme song for A View to a Kill.
Michael G. Wilson wrote the screenplay for A View to a Kill.
The name of the Duran Duran theme song was ""A View to a Kill"".
John Glen directed a third of James Bond films.",,,,qacg,,,,
32,3994,"Disney is the name of the company that owns and licenses 14 theme parks around the world.
Along with Interactive Media and Parks and Resorts, Disney owns Disney Consumer Products.
Disney became a component of the Dow Jones Industrial Average on May 6, 1991.
The name of the cable television network owned by Disney is A+E Networks.
Disney owns the cable television network Freeform.
Disney owns and licenses 14 theme parks around the world.
The three main divisions of the Walt Disney Company are Walt Disney Parks and Resorts.
Another division of the Walt Disney Company is Interactive Media.
The name of Disney's other three divisions is The Walt Disney Company.
Along with Disney Consumer Products and Interactive Media, the other division of the Walt Disney Company is Disney Media Networks.
Disney Channel is the name of the cable television network owned by Disney.
Disney owns ABC.
Disney has three divisions.
Along with Disney Channel, A+E Networks, and Freeform, ESPN is owned by Disney.",,,,qacg,,,,
33,4519,"Larson researched trauma and nutrition for her part in Room.
Larson won the Golden Globe Award for Room.
Room was released in 2015.
Room was released in October 2015 in the United States.
Room was released in the US on 16 October 2015.
Room premiered at the Telluride Film Festival on 4 September 2015.
Larson won the Screen Actors Guild Award for Room.
Jack was the role of Larson's children in Room.
Larson won the Academy Award for Best Actress for Room.
Larson won the BAFTA Award for Room.
Room premiered at the Telluride Film Festival.",,,,qacg,,,,
34,741,"Richard III was of England.
Richard III was the last king of the House of York.
Richard III died in the Battle of Bosworth Field.
Richard III was born on 2 October 1452 - 22 August 1485.
Richard III was the age of 32 when he died.
Richard III became King of England in 1483.
Richard III was the last king of the House of York.
Richard III died in 1485.
Richard III was the last king of the Plantagenet dynasty.",,,,qacg,,,,
35,6134,"Another name for the NBA is NBA.
Magic Johnson Jr. is a member of the Lakers.
Magic Johnson Jr.'s nickname is Johnson.
Magic Johnson Jr.'s profession was Magic JohnsonEarvin ""Magic.""
Magic Johnson Jr is American.
Magic Johnson Jr. was selected by the Lakers in 1979.
Magic Johnson Jr. played for the Lakers for 13 seasons.
Magic Johnson Jr. is a member of the National Basketball Association.
Magic Johnson Jr. is a member of the Los Angeles Lakers.
Magic Johnson Jr. was born on August 14, 1959.
Magic Johnson Jr.'s overall ranking in the 1979 NBA draft was first.
Magic Johnson's real name is Johnson Jr..",,,,qacg,,,,
36,271,"Miley Cyrus'real name is Miley Ray Cyrus.
Miley Cyrus is American.
Miley Cyrus played Miley Stewart in the television series Hannah Montana.
Miley Cyrus starred as Miley Stewart in Hannah Montana in 2006.
Miley Cyrus was born on November 23, 1992.
Miley Cyrus'birth name was Destiny Hope Cyrus.
Miley Cyrus played Miley Stewart in the television series Hannah Montana.
Miley Cyrus played a minor role in the television series Doc and the film Big Fish as a child.
Miley Cyrus starred in Disney Channel in 2006.
Miley Ray Cyrus'nickname is Miley Cyrus.",,,,qacg,,,,
37,5856,"Alicia Keys was in 2006.
Keys won the Best Album award in 2008.
Keys received Outstanding song and Outstanding Music Video for ""Unbreakable"" at the NAACP Image Awards in 2006.
Keys won the Best R&B Song for ""No One"" award at the Grammy Awards.
Keys won 3 awards in 2006.
Keys won the award of World's Best Selling R&B Artist at the World Music Awards.
Keys won Pop/Rock music at the 2008 Grammys.
Keys won Best Female R&B Vocal Performance and Best R&b Song for ""No One"" at the Grammy Awards.
Keys received 12 nominations in 2006.
Keys won the Best Female R&B Vocal Performance award at the Grammys.
Keys received 30 nominations in 2008.
Keys won 16 awards in 2008.
Keys won the Outstanding Female Artist award at the 2006 NAACP Image Awards.
Keys won the As I Am award at the American Music Awards in 2008.
Keys received 12 nominations in 2006.
Keys won 16 Grammy nominations in 2008.
Keys won World's Best Selling R&B Artist at the World Music Awards.
Keys won soul/R & B at the American Music Awards.
Alicia Keys was nominated for an award at the NAACP Image Awards in 2006.",,,,qacg,,,,
38,6003,"Angela Lansbury co-owned Corymore Productions.
Angela Lansbury contributed to Disney's Beauty and the Beast.
Peter Shaw was Angela Lansbury's husband.
Angela Lansbury co-owned the company Corymore Productions with Peter Shaw.
Beauture and the Beast was released in 1991.
Angela Lansbury was the executive producer for the final four seasons.
Lansbury co-owned Corymore Productions.",000000,00,000000,qacg,353,"000000,0000000","00,10","353,356"
39,5667,Lemmy was one of the foundations of the heavy metal genre.,,,,qacg,,,,
40,3639,"Rhode Island shares a maritime border with New York.
Rhode Island boycotted the Articles of Confederation in 1787.
The Colony of Rhode Island renounced its allegiance to the British Crown on May 4, 1776.
The Colony of Rhode Island refused to ratify the United States Constitution in 1787.
Rhode Island renounced its allegiance to the British Crown on May 4, 1776.
Rhode Island ratified the Articles of Confederation on February 9, 1778.
The first of the Thirteen Colonies to renounce its allegiance to the British Crown was the Colony of Rhode Island.
Rhode Island ranked fourth among newly sovereign states to ratify the Articles of Confederation.
Rhode Island shares a short maritime border with New York.
The first of the Thirteen Colonies to renounce their allegiance to the British Crown was first.
The Thirteen Colonies were the number of colonies that renounced their allegiance to the British Crown.
The Colony of Rhode Island ratified the Articles of Confederation on February 9, 1778.",,,,qacg,,,,
41,5332,"BFS renamed the British Fantasy Awards in 1976.
The Karl Edward Wagner Award is given for ""important contribution to the genre or the Society"" is given at the discretion of the BFS committee.
The BFS has the Best Non-Fiction award category.
Best Newcomer (the Sydney J. Bounds Award) is the name of the new award category given by the BFS.
Best Collection is one of the current BFS award categories.
Best Short Story is one of the current BFS award categories.
The current name of the British Fantasy Awards is British Fantasy Award first.
The Karl Edward Wagner Award for is important contribution to the genre or the Society.
One of the BFS award categories is best Comic/Graphic Novel.
The BFS renamed the award categories the British Fantasy Awards in 1976.
The British Fantasy Award was first awarded in 1972.
Michael Moorcock wrote The Knight of Swords.
The British Fantasy Awards were renamed in 1976.
The current category of the British Fantasy Awards is best Novella.
The current award category for Best Fantasy Novel is the Robert Holdstock Award.
The Robert Holdstock Award is best Fantasy Novel.
The name of the first British Fantasy Award was The Knight of Swords.
The BFS has the award category Best Artist.
The name of the August Derleth Award is best Horror Novel (the August Derlth Award).
The current award category for the British Fantasy Awards is best Independent Press.
The current award category for the British Fantasy Awards is best Anthology.",,,,qacg,,,,
42,3470,"Trump serves as a trustee of The Trump Organization.
Eric Trump was born on January 6, 1984.
Donald Trump is Eric Trump's father.
Eric Trump is American.
Eric Trump is the nickname of Eric Frederick Trump.
Eric Trump is the second son of the United States.
Eric Trump's older brother is named Donald Trump Jr..
Eric Frederick Trump is the real name of Eric Trump.
Ivana Trump is Eric Trump's mother.
Eric Trump is second.
Eric Trump is a third of his age.",,,,qacg,,,,
43,343,"Roger Moore was born on 14 October 1927 - 23 May 2017.
Moore's nickname was James Bond.
Sir Roger George Moore's nickname was Roger Moore.
Roger Moore Sir's nickname was Roger George Moore.
Moore played James Bond in seven films between 1973 and 1985.
Moore starred as James Bond between 1973 and 1985.
Roger Moore was English.",,,,qacg,,,,
44,4794,"Julian Schnabel directed Before Night Falls.
Before Night Falls is American.
Cunningham O'Keefe wrote the screenplay for Before Night Falls.
The name of the 2000 American romantic drama directed by Julian Schnabel is Before Night Falls.
Night Falls was based on Reinaldo Arenas'autobiography.
Schnabel directed Before Night Falls.
Before Night Falls was released in 2000.
Lázaro Gómez Carriles wrote the screenplay for Before Night Falls.
Before Night Falls was based on Reinaldo Arenas'autobiography.
The autobiography of Reinaldo Arenas was published in English.
The autobiography of Reinaldo Arenas was published in 1993.",,,,qacg,,,,
45,3845,"Sally Field received the Academy Award for Best Actress for Smokey and the Bandit.
Field was nominated for a Golden Globe Award for Best Actress in 1985 Murphy's Romance.
Field received a Golden Globe Award for her roles in Murphy's Romance and Steel Magnolias.
Absence of Malice was released in 1981.
Sally Field received the Academy Award for Best Actress.
Sally Field ranked second in the Academy Awards for Best Actress for Places in the Heart.
Field was nominated for a Golden Globe in the movie ""Absence of Malice"".
Field received the Golden Globe Award for her roles in Absence of Malice and Kiss Me Goodbye.
Field received the Academy Award for Best Actress for Norma Rae.
Field received her second Academy Award for Best Actress in 1984.
Murphy's Romance was released in 1985.
Sally Field received the Academy Award for Best Actress for her roles in Smokey and the Bandit and Norma Rae.
Kiss Me Goodbye was released in 1982.
Norma Rae was released in 1979.
Steel Magnolias was released in 1989.
Field was nominated for a Golden Globe in 1989 for Steel Magnolias.
Sally Field was a field.
Field's first Golden Globe nomination was Kiss Me Goodbye.
Smokey and the Bandit was released in 1977.
Sally Field starred in Smokey and the Bandit in 1977.
Sally Field starred in Norma Rae in 1979.
Field's second Academy Award was for Best Actress for Places in the Heart.",,,,qacg,,,,
46,467,"Colombia and the country that seceded in 1903 was Colombia.
The asymmetric low intensity armed conflict escalated in the 1990s.
Colombia's armed conflict began to decrease in 2005.
Panama seceded in 1903.
Colombia Panama seceded in 1903.
Colombia Panama seceded in the 1960s.",,,,qacg,,,,
47,5983,"Brock Lesnar won the IWGP Heavyweight Championship first.
Another name for New Japan Pro-Wrestling is NJPW.
Brock's first name was Lesnar.
Brock Lesnar wrested after a contractual dispute with NJPW at the Inoki Genome Federation.
Brock Lesnar won the IWGP Heavyweight Championship in 2005.
Another name for the Inoki Genome Federation is IGF.
Brock Lesnar began his MMA career in 2006.
Brock Lesnar returned to wrestling in 2005.
Min-Soo Kim was Brock Lesnar's first opponent.
Brock Lesnar signed with the company Hero's in 2006.
Lesnar won his first fight in June 2007.
Brock Lesnar signed with New Japan Pro-Wrestling in 2005.
Brock Lesnar won the IWGP Heavyweight Championship in his first match.",,,,qacg,,,,
